,Close
648,19.89
649,19.8
650,19.38
651,19.82
652,20.0
653,20.19
654,19.9
655,20.26
656,20.43
657,20.36
658,20.28
659,20.44
660,19.73
661,19.42
662,19.17
663,19.11
664,19.53
665,19.09
666,19.09
667,19.37
668,19.65
669,19.38
670,18.75
671,18.76
672,17.75
673,18.08
674,18.26
675,17.58
676,17.7
677,18.55
678,19.08
679,18.85
680,19.26
681,18.82
682,20.82
683,19.89
684,18.68
685,18.93
686,19.15
687,19.2
688,18.92
689,16.88
690,17.3
691,16.96
692,15.58
693,16.0
694,15.31
695,14.58
696,13.76
697,12.65
698,12.29
699,13.49
700,12.65
701,11.75
702,12.99
703,12.9
704,12.86
705,12.07
706,12.39
707,12.65
708,12.1
709,11.58
710,12.36
711,12.14
712,12.93
713,12.82
714,12.75
715,13.35
716,13.92
717,13.96
718,12.2
719,11.87
720,11.35
721,10.34
722,11.15
723,10.82
724,10.63
725,11.55
726,9.14
727,8.95
728,9.39
729,10.21
730,10.07
731,10.58
732,11.51
733,10.74
734,11.5
735,11.5
736,11.05
737,11.66
738,12.2
739,12.19
740,13.4
741,12.73
742,13.15
743,12.73
744,13.36
745,13.11
746,12.72
747,13.03
748,12.35
749,12.42
750,12.32
751,12.34
752,11.88
753,11.97
754,12.2
755,12.85
756,12.86
757,13.0
758,12.71
759,13.07
760,13.13
761,12.22
762,12.1
763,12.41
764,11.61
765,11.59
766,11.01
767,11.59
768,11.28
769,11.32
770,11.17
771,11.34
772,12.24
773,11.74
774,11.73
775,12.15
776,12.68
777,13.0
778,13.51
779,13.63
780,13.9
781,12.75
782,12.63
783,12.66
784,12.84
785,12.02
786,12.22
787,11.98
788,12.14
789,11.97
790,12.75
791,12.48
792,12.98
793,13.23
794,12.58
795,12.5
796,13.16
797,12.53
798,13.05
799,12.66
800,13.23
801,13.39
802,13.6
803,13.51
804,13.22
805,13.99
806,13.42
807,13.74
808,13.6
809,14.09
810,13.61
811,13.55
812,13.35
813,13.18
814,12.7
815,12.81
816,12.75
817,12.95
818,13.34
819,13.23
820,12.81
821,12.92
822,13.47
823,14.42
824,14.07
825,14.02
826,14.43
827,14.39
828,13.66
829,14.38
830,14.48
831,14.55
832,14.73
833,13.89
834,13.64
835,14.02
836,14.29
837,14.14
838,14.18
839,14.74
840,14.85
841,14.8
842,15.15
843,15.54
844,15.1
845,14.52
846,14.76
847,14.91
848,15.17
849,15.18
850,14.96
851,14.87
852,14.98
853,15.28
854,14.94
855,15.09
856,15.84
857,16.58
858,16.62
859,16.3
860,16.65
861,16.64
862,16.19
863,16.4
864,16.32
865,16.19
866,16.4
867,16.4
868,15.96
869,15.6
870,15.34
871,15.8
872,14.71
873,14.68
874,15.45
875,15.53
876,15.74
877,15.9
878,15.66
879,15.41
880,14.99
881,14.91
882,14.44
883,14.38
884,14.55
885,14.93
886,15.01
887,15.18
888,15.71
889,16.19
890,16.84
891,17.01
892,16.75
893,17.37
894,17.36
895,17.48
896,17.0
897,17.22
898,15.14
899,14.6
900,14.32
901,14.34
902,14.51
903,14.67
904,14.74
905,14.62
906,14.63
907,14.46
908,14.68
909,15.04
910,15.04
911,14.56
912,14.75
913,14.79
914,14.77
915,14.79
916,14.99
917,15.07
918,14.93
919,14.93
920,14.85
921,14.61
922,14.18
923,14.23
924,14.28
925,14.5
926,14.49
927,14.78
928,15.45
929,15.59
930,15.57
931,16.41
932,16.99
933,17.5
934,17.39
935,17.04
936,16.86
937,17.21
938,16.89
939,17.08
940,17.47
941,17.45
942,17.81
943,17.39
944,16.84
945,16.8
946,17.3
947,17.49
948,17.58
949,16.87
950,16.75
951,16.88
952,16.95
953,16.52
954,16.81
955,17.22
956,17.17
957,17.66
958,17.67
959,17.22
960,16.87
961,16.69
962,16.04
963,16.13
964,15.9
965,15.85
966,15.7
967,15.69
968,15.9
969,15.94
970,16.02
971,16.04
972,16.09
973,16.0
974,15.93
975,16.07
976,16.05
977,15.98
978,15.61
979,15.38
980,15.45
981,15.24
982,15.3
983,15.0
984,14.97
985,15.13
986,15.31
987,15.11
988,15.19
989,15.45
990,15.45
991,15.18
992,15.49
993,15.74
994,15.81
995,15.74
996,15.79
997,15.82
998,16.14
999,15.88
1000,15.98
1001,16.67
1002,16.72
1003,16.88
1004,16.92
1005,16.98
1006,16.78
1007,17.1
1008,17.23
1009,17.17
1010,16.7
1011,16.7
1012,16.74
1013,16.68
1014,16.9
1015,17.12
1016,16.82
1017,16.75
1018,16.38
1019,16.2
1020,15.88
1021,15.86
1022,15.99
1023,15.98
1024,15.44
1025,15.01
1026,15.05
1027,15.17
1028,15.46
1029,15.01
1030,15.19
1031,14.99
1032,15.07
1033,14.8
1034,15.22
1035,15.17
1036,15.41
1037,15.44
1038,15.54
1039,15.58
1040,15.49
1041,15.38
1042,15.59
1043,15.24
1044,15.31
1045,15.79
1046,15.73
1047,15.57
1048,15.81
1049,16.06
1050,16.52
1051,16.53
1052,16.79
